id,user_id,from_account,to_account,amount,currency,recipient_name,recipient_is_new,status,risk_score,created_at,_is_fraud
74,278,AL4628188179538512,AL3959508779192915,482.98,ALL,Alyssa Wilson,False,ALLOWED,0.315,2025-06-18 00:30:43.954670,0
75,325,AL9878769349321258,AL2942284375640005,1572.98,CHF,Steven Travis,False,BLOCKED,0.244,2025-12-15 21:32:05.955685,0
76,438,AL8205378939132963,AL4556189188734818,373.97,EUR,Mrs. Jamie Washington,False,ALLOWED,0.205,2026-04-28 12:52:29.955685,0
77,280,AL1738796513830256,AL7959129162343895,130.4,EUR,David Coleman,True,ALLOWED,0.265,2026-01-10 16:40:37.956684,0
78,125,AL0055220631392821,AL1640412871858735,218.58,ALL,Jesse Cameron MD,False,ALLOWED,0.251,2026-04-09 00:45:06.956684,0
79,440,AL1502345837972624,AL0059079487286056,86.56,ALL,Kenneth Wade,True,ALLOWED,0.037,2025-09-15 10:59:01.957684,0
80,200,AL5688153759461913,AL8500448575366716,66.21,ALL,Anne Mcintyre,True,ALLOWED,0.234,2025-12-17 19:05:55.957684,0
81,441,AL3684424862570722,AL5107983337679365,301.47,EUR,Brandon Wright,False,HELD,0.031,2025-12-07 05:44:29.958686,0
82,238,AL0479568929591086,AL3152886667493066,237.84,ALL,Trevor Cooper,False,ALLOWED,0.117,2025-09-23 02:05:18.958686,0
83,278,AL4628188179538512,AL7183647611852119,378.21,ALL,Luke Hart,False,ALLOWED,0.047,2026-02-06 09:49:51.959744,0
84,250,AL2749559433871436,AL8552094260024313,220.93,ALL,Lorraine Morse,False,ALLOWED,0.172,2026-01-26 08:06:26.959744,0
85,435,AL4346655921796434,AL8054410347422649,142.72,EUR,Sheila Torres,True,ALLOWED,0.277,2025-08-17 15:43:21.959744,0
86,51,AL0309721047583242,AL5020667136880408,142.35,ALL,Elizabeth Wall,False,HELD,0.098,2026-05-13 08:53:37.960763,0
87,258,AL3527922174220462,AL7918018796655528,398.73,EUR,Anna Morton,False,HELD,0.274,2025-12-04 10:47:50.960763,0
88,58,AL4695351069850942,AL9482632243231931,294.18,USD,Steven Sanchez,True,ALLOWED,0.304,2025-07-14 05:00:54.961762,0
89,78,AL1514310591428492,AL0122106912596754,197.48,EUR,Judith French,True,ALLOWED,0.03,2025-11-21 00:26:58.961762,0
90,330,AL0665745672342333,AL5934520216038566,76.19,GBP,Matthew Rice,False,BLOCKED,0.279,2025-05-29 06:33:11.962762,0
91,278,AL4628188179538512,AL0435994614669499,247.69,USD,Alejandro Waller,False,ALLOWED,0.108,2025-12-23 09:45:31.962762,0
92,242,AL8425896753448570,AL3292797711777450,894.48,ALL,Angela Gonzalez,False,REQUIRE_2FA,0.099,2026-05-17 06:32:14.963758,0
93,10,AL9626592991150249,AL5707126031272020,88.68,ALL,Brenda Rodriguez,True,REQUIRE_2FA,0.248,2025-11-02 16:41:54.963758,0
94,365,AL5955631583882574,AL5754450919054548,23.37,ALL,Mary Harris,False,REQUIRE_2FA,0.147,2025-06-15 18:49:34.964782,0
95,383,AL1042075944803728,AL6736029582299838,228.25,USD,Aaron Green,False,HELD,0.101,2025-07-29 00:55:16.964816,0
96,98,AL8904297356440438,AL9776363627572781,229.82,ALL,Randall Morton,False,REQUIRE_2FA,0.065,2026-04-17 18:29:52.964816,0
97,483,AL2953056921950146,AL0618407743091856,229.75,CHF,Mark Ramirez,False,REQUIRE_2FA,0.051,2025-08-18 04:35:31.965831,0
98,180,AL9661759463018736,AL3378188116836932,822.26,ALL,Holly Leon,False,ALLOWED,0.195,2025-07-20 03:39:35.965831,0
99,167,AL1891627413570968,AL4987087358950660,11.82,ALL,Marcus Landry,False,ALLOWED,0.338,2025-09-19 02:14:34.966834,0
100,225,AL5116929330446114,AL5853412454960550,574.1,GBP,Patricia Payne,False,ALLOWED,0.19,2025-06-23 21:24:02.966834,0
101,196,AL6856000196729190,AL8709161166638083,143.46,ALL,Paul Diaz,False,ALLOWED,0.039,2025-11-21 15:59:35.967830,0
102,433,AL9865317064795543,AL7413071395457268,477.08,USD,Timothy Taylor,False,ALLOWED,0.2,2025-08-30 20:13:24.967830,0
103,141,AL3592912308838788,AL8032840204958783,224.59,ALL,Michael Alvarado,False,ALLOWED,0.251,2026-05-14 10:54:39.968829,0
104,487,AL5853412454960550,AL0288108158753768,333.36,ALL,Stephanie Martin,False,ALLOWED,0.317,2025-05-29 08:15:05.968829,0
105,427,AL6773916170236023,AL1640412871858735,1.17,EUR,Virginia Stevens,False,BLOCKED,0.985,2026-03-05 05:14:01.969891,1
106,408,AL2650437396148277,AL6027535930397891,75.24,ALL,Abigail Vincent,False,ALLOWED,0.314,2025-10-17 20:57:31.969891,0
107,179,AL8131430080794379,AL2328108923559404,36.48,ALL,Juan Ward,False,REQUIRE_2FA,0.261,2026-03-20 16:19:19.970906,0
108,93,AL5676191464290297,AL9456591792247977,29.66,ALL,Michael Wright,False,ALLOWED,0.018,2026-02-13 17:58:42.970906,0
109,393,AL5913097247952666,AL9333306022275939,327.66,EUR,Jaime Stephenson,False,ALLOWED,0.282,2026-02-06 16:24:00.970906,0
110,338,AL4548054268500463,AL7481322331758710,245.27,ALL,Richard Vasquez,False,ALLOWED,0.16,2026-03-20 04:14:32.971908,0
111,30,AL1266153590947437,AL9332052816561463,552.0,ALL,April Jacobson,False,HELD,0.325,2025-06-01 16:46:02.971908,0
112,271,AL7276536999253998,AL5688153759461913,441.89,GBP,Laura Ross,False,ALLOWED,0.253,2025-10-04 14:21:54.972904,0
113,365,AL5955631583882574,AL5232626693946684,51.78,USD,Natasha Zamora,True,BLOCKED,0.259,2025-07-09 08:26:57.972904,0
114,244,AL5268427193370213,AL8264178511455252,80.69,ALL,Jennifer Long,False,ALLOWED,0.346,2025-07-22 10:33:51.973907,0
115,115,AL3336714042343378,AL2035120014676692,297.24,ALL,Brian Mendez,False,ALLOWED,0.023,2025-10-25 10:33:18.973907,0
116,75,AL9695003718242440,AL1152216025462673,2431.36,ALL,Alexander Bradshaw,False,HELD,0.08,2025-09-03 03:44:00.974906,0
117,30,AL1266153590947437,AL1043218661365664,469.87,USD,Debra Freeman,False,ALLOWED,0.213,2026-02-24 07:53:37.974959,0
118,188,AL9895576424017810,AL8858348374226437,41.21,ALL,Kelly Davis PhD,False,ALLOWED,0.095,2025-07-31 02:05:12.974959,0
119,12,AL0122106912596754,AL4177023708318019,578.38,EUR,Kevin Collins,False,ALLOWED,0.064,2025-07-04 08:04:18.975974,0
120,364,AL1043218661365664,AL4996662800688633,1436.6,ALL,Kelly Henry,False,ALLOWED,0.303,2025-11-04 19:44:44.975974,0
121,119,AL4463180522094370,AL1506013674137073,144.66,USD,Samantha Atkinson,False,ALLOWED,0.143,2025-08-05 12:07:19.976973,0
122,145,AL3256902224808666,AL2277153659966817,139.95,ALL,John Ponce,False,ALLOWED,0.217,2025-12-16 11:54:14.976973,0
123,408,AL2650437396148277,AL4718216761134921,118.73,ALL,David Combs,False,ALLOWED,0.12,2025-08-05 22:05:58.977974,0
124,212,AL9456591792247977,AL9316710891999259,411.41,EUR,William Jones,False,ALLOWED,0.237,2026-04-12 16:05:03.978973,0
125,354,AL4860845960140171,AL3778797978895793,4278.74,EUR,Blake Simmons,False,ALLOWED,0.242,2026-05-23 01:27:53.978973,0
126,173,AL3669722840860766,AL6027535930397891,248.85,ALL,Nichole Rivera,False,REQUIRE_2FA,0.1,2026-02-18 13:29:36.978973,0
127,322,AL8636525695195273,AL3839578785041822,440.32,EUR,Amanda Black,False,ALLOWED,0.256,2026-03-21 06:14:06.980031,0
128,224,AL1813681283270888,AL3778797978895793,201.85,ALL,Andrew Shannon,False,ALLOWED,0.35,2025-09-15 10:23:03.980031,0
129,26,AL7413071395457268,AL4177023708318019,2341.17,ALL,Jonathan Medina,False,ALLOWED,0.196,2026-05-13 09:45:17.981045,0
130,72,AL0240349059891893,AL1740281450195214,60.46,ALL,Aaron Martin,False,ALLOWED,0.074,2026-03-23 19:54:14.981045,0
131,477,AL8866961536622028,AL4049028510458844,410.53,ALL,Kyle Castro,False,ALLOWED,0.105,2026-03-24 18:11:56.982044,0
132,153,AL4811885093988665,AL3787539244757938,97.7,ALL,Jennifer Brown,False,ALLOWED,0.146,2025-10-03 10:13:40.982044,0
133,137,AL5699441594313295,AL0875531060175421,303.77,ALL,Brian Howard,False,ALLOWED,0.126,2025-06-02 12:04:30.983044,0
134,311,AL6970003393082978,AL9332052816561463,41.49,USD,Joshua Hudson,False,REQUIRE_2FA,0.323,2025-08-06 20:38:54.983044,0
135,218,AL6907742368656060,AL1738796513830256,337.12,EUR,Jonathan Holloway,True,ALLOWED,0.081,2025-07-22 01:30:44.984047,0
136,59,AL5579341643644421,AL6907742368656060,539.12,EUR,Samantha Herrera,False,ALLOWED,0.291,2026-01-11 15:05:32.984047,0
137,156,AL2717490920758105,AL7313136172872510,33.27,EUR,Penny Johnson,False,ALLOWED,0.191,2025-06-24 05:23:23.985067,0
138,281,AL8962924852036721,AL7810926900010869,123.42,EUR,Karen Wiley,False,ALLOWED,0.198,2026-05-05 00:57:01.985099,0
139,482,AL5011905309087718,AL1221237387919693,35.51,USD,Eileen Cohen,False,ALLOWED,0.08,2025-05-27 14:21:39.985099,0
140,114,AL4892611386421211,AL4251864575899673,331.92,EUR,Patty Sanchez,False,ALLOWED,0.133,2025-07-08 03:30:50.986119,0
141,195,AL4270159343405532,AL0487687681827940,23.99,ALL,Nicholas Robinson,False,ALLOWED,0.326,2025-08-17 19:35:46.986119,0
142,486,AL8948617367998544,AL4498701466213799,19.07,USD,Hunter Powell,False,ALLOWED,0.327,2025-12-07 03:25:39.987114,0
143,187,AL5424093794841019,AL0435994614669499,60.77,ALL,Nicole Wilson,False,BLOCKED,0.019,2025-12-18 07:39:30.987114,0
144,126,AL0815969333364743,AL4270159343405532,89.62,EUR,Rachel Perez,False,HELD,0.206,2026-03-17 08:40:35.988117,0
145,485,AL9776363627572781,AL5970325292519973,278.17,ALL,Shaun Hansen,False,REQUIRE_2FA,0.279,2025-08-12 08:07:35.988117,0
146,315,AL1482903361262883,AL4931899984162469,402.88,ALL,Amber Powell,False,ALLOWED,0.012,2026-01-16 01:33:56.989113,0
147,84,AL5059429045494907,AL6224271835137215,1.22,ALL,Yvonne Cox,True,ALLOWED,0.785,2025-07-19 00:31:22.989113,1
148,251,AL5622352351511220,AL5639529940551681,369.82,ALL,James Williams,False,ALLOWED,0.244,2025-10-23 00:58:33.990174,0
149,469,AL6783843139778263,AL7690952379396158,260.65,GBP,Cassandra Parker,False,HELD,0.038,2025-06-26 15:50:36.990174,0
150,92,AL8826055398022857,AL5894158902408169,982.75,ALL,Krista Wagner,False,ALLOWED,0.285,2026-02-11 23:56:51.991190,0
151,147,AL0487687681827940,AL3292797711777450,1941.14,EUR,Terri Lambert,False,ALLOWED,0.123,2026-02-01 04:55:58.991190,0
152,249,AL5351871552172526,AL0490064226562583,866.35,USD,Lauren Reynolds,False,ALLOWED,0.322,2025-07-04 13:06:09.991190,0
153,465,AL7672449230198275,AL7185475539917039,79.67,EUR,Kathryn Clark,False,ALLOWED,0.1,2025-11-20 06:03:46.992174,0
154,29,AL2723583401008880,AL4270159343405532,2853.68,ALL,Gregory Reed,False,ALLOWED,0.156,2025-06-23 06:07:10.992174,0
155,236,AL0490064226562583,AL8867461550573522,47.75,ALL,Amy Vargas,False,ALLOWED,0.169,2025-12-29 11:31:08.993189,0
156,57,AL5426705922803471,AL9066504826895364,1456.32,EUR,Dean Clark,False,ALLOWED,0.164,2025-10-14 16:08:38.993189,0
157,218,AL6907742368656060,AL1914468575412403,754.33,ALL,Kimberly Sandoval,False,ALLOWED,0.202,2025-10-25 01:53:48.994188,0
158,334,AL2477934303241789,AL5880721503525471,23.05,ALL,Gina Gross,False,ALLOWED,0.147,2025-10-19 23:03:42.994188,0
159,331,AL5736828336652098,AL5059429045494907,18.93,ALL,Tanya Diaz,False,ALLOWED,0.286,2026-03-27 00:04:03.995253,0
160,435,AL4346655921796434,AL9025031901115392,61.48,ALL,William Chan,True,ALLOWED,0.126,2026-04-07 04:59:33.995253,0
161,82,AL9025031901115392,AL5188090463207043,1740.96,ALL,Emily Elliott MD,False,ALLOWED,0.066,2025-12-28 22:59:40.996266,0
162,431,AL5754450919054548,AL8292619383740161,7276.83,ALL,Mary Howe,False,ALLOWED,0.029,2026-04-18 09:19:27.996266,0
163,61,AL4650547896341988,AL3549351833548551,238.44,ALL,Monica Mitchell,False,ALLOWED,0.25,2026-05-05 20:50:54.997266,0
164,257,AL9682956763668455,AL7945956455765098,595.14,ALL,Shelby Hill,False,ALLOWED,0.165,2025-12-08 21:54:01.997266,0
165,166,AL0152645433655529,AL2993253940103388,728.41,USD,Tammy Schwartz,False,ALLOWED,0.297,2026-01-21 02:25:36.998268,0
166,424,AL3450442343955290,AL5688153759461913,125.15,USD,Antonio Johnson,False,ALLOWED,0.134,2025-12-12 10:09:02.998268,0
167,253,AL6530787464332961,AL6697057448664259,100.85,CHF,Kevin Johnson,True,ALLOWED,0.134,2025-12-12 23:44:24.999264,0
168,268,AL6707378220674134,AL3699344075357068,816.05,ALL,Martin Lee,False,ALLOWED,0.178,2026-05-04 04:29:41.999264,0
169,337,AL0225025366982665,AL9465638265503056,1851.58,USD,Jeffrey Mccullough,True,ALLOWED,0.115,2026-03-30 17:39:50.999264,0
170,479,AL4498701466213799,AL3964002275959537,205.87,GBP,Breanna Wang,False,ALLOWED,0.289,2025-12-18 02:37:49.000324,0
171,231,AL6276898173466491,AL8867461550573522,35.95,ALL,Christine Shaw,False,ALLOWED,0.267,2026-05-07 02:58:05.000324,0
172,422,AL9387887717076763,AL8292619383740161,280.91,EUR,Joseph Jones,False,ALLOWED,0.056,2025-12-20 08:28:14.001341,0
173,54,AL1640412871858735,AL5853412454960550,52.23,EUR,Thomas Williamson,False,ALLOWED,0.257,2025-07-16 10:44:54.001341,0
174,424,AL3450442343955290,AL7481322331758710,156.14,USD,Austin Hicks,True,ALLOWED,0.191,2025-10-29 17:37:48.002340,0
175,482,AL5011905309087718,AL2195018216837417,38.42,USD,Adam Bartlett,False,ALLOWED,0.143,2025-11-18 03:43:04.002340,0
176,3,AL8226618180777647,AL6398877590713267,125.34,ALL,Kelly Payne,True,ALLOWED,0.342,2026-02-11 05:53:07.003341,0
177,431,AL5754450919054548,AL4366343000454923,6677.58,USD,Michael Logan,False,ALLOWED,0.287,2026-01-12 04:25:52.003341,0
178,137,AL5699441594313295,AL1702565891966067,323.42,ALL,Abigail Wright,True,ALLOWED,0.171,2026-03-15 20:54:15.004342,0
179,53,AL0241183557728384,AL4957400228886564,1179.89,EUR,Stephanie Miller,False,ALLOWED,0.254,2025-12-20 03:52:33.004342,0
180,90,AL8181314728669439,AL9071856762855305,87.06,EUR,Stacy Friedman,False,ALLOWED,0.031,2026-01-06 13:17:01.005338,0
181,370,AL0921319132005202,AL9482632243231931,3092.2,ALL,Ashley Ali,False,ALLOWED,0.025,2026-05-12 18:27:21.005338,0
182,482,AL5011905309087718,AL5323666606865274,67.94,EUR,Jeffrey Dorsey,False,ALLOWED,0.198,2026-03-15 05:53:42.006339,0
183,446,AL0618407743091856,AL0665745672342333,118.03,ALL,Dennis Dyer,False,ALLOWED,0.248,2026-01-12 00:55:25.006339,0
184,454,AL8924087074528481,AL8580723096951341,1382.55,ALL,Jonathan Sanders,True,HELD,0.022,2025-08-19 22:30:21.006339,0
185,164,AL9317111895666597,AL5934520216038566,33.74,ALL,Holly Castro,False,REQUIRE_2FA,0.327,2026-03-13 02:16:23.007341,0
186,413,AL1700717119193791,AL4883256179853374,806.01,USD,James Mcmillan,False,ALLOWED,0.033,2026-02-15 13:07:28.007341,0
187,477,AL8866961536622028,AL7481322331758710,335.04,ALL,Amy Huber,False,ALLOWED,0.014,2025-12-02 04:29:31.008337,0
188,311,AL6970003393082978,AL4227816437274078,81.45,EUR,James Edwards,True,ALLOWED,0.265,2025-07-24 06:46:35.008337,0
189,31,AL9995288961548330,AL1523224963452562,222.27,ALL,Miranda Cervantes,False,ALLOWED,0.269,2025-10-30 08:43:13.009336,0
190,266,AL8770472477843364,AL1152216025462673,110.08,ALL,Corey White,False,ALLOWED,0.142,2025-06-07 23:51:20.009336,0
191,355,AL2959968194720841,AL3725577433426267,63.68,EUR,Daniel Webster,True,ALLOWED,0.239,2025-12-12 09:00:49.010336,0
192,381,AL3867485634830334,AL9025031901115392,727.09,EUR,Cindy Gates,True,BLOCKED,0.81,2025-07-04 00:15:00.010336,1
193,16,AL3839578785041822,AL0788569647585800,70.77,EUR,Kelly Douglas,False,BLOCKED,0.135,2025-11-20 14:08:45.011391,0
194,110,AL6675827018466621,AL2895350500559598,698.94,ALL,Steven Anderson,True,ALLOWED,0.035,2026-02-13 17:58:16.011391,0
195,277,AL3378188116836932,AL8924087074528481,18.13,EUR,Briana Arnold,False,ALLOWED,0.052,2025-09-22 00:12:50.012409,0
196,483,AL2953056921950146,AL5934070672633527,380.98,ALL,Michael Chase,True,ALLOWED,0.337,2025-09-23 21:34:24.012409,0
197,167,AL1891627413570968,AL6549896311931205,1.35,ALL,Laura Stevens,False,ALLOWED,0.26,2025-07-11 03:29:58.012409,0
198,424,AL3450442343955290,AL8485568150488235,130.64,USD,Christopher Nelson,False,ALLOWED,0.296,2026-03-08 18:44:43.013409,0
199,362,AL7183647611852119,AL7810926900010869,632.84,ALL,Hunter Torres,False,ALLOWED,0.059,2025-12-10 18:01:01.013409,0
200,19,AL1702565891966067,AL6143407400565778,306.04,ALL,Valerie Rowe,False,ALLOWED,0.334,2025-06-19 12:30:10.014405,0
