id,name,email,password_hash,role,home_country,home_city,trust_score,average_transaction_amount,account_number,balance,created_at,updated_at
27,Jeffrey Silva,jonesthomas@example.org,eb86cd23851fcfc1d135d3a7506dfff49c0c38fe9f2c2c473b807e5b8ea4ae67,CUSTOMER,GR,Athens,62.8,162.17,AL6494119192036476,1054.9,2026-01-02 13:39:35.159858,2026-07-15 13:39:35.159858
28,Brian Taylor,hansendiane@example.com,acf9b51d8836b0df339146d26c78147dd5cccbeacd6f17f68dfb1ee59728c017,CUSTOMER,AL,Tirana,56.3,36.33,AL2053557565663273,197.77,2025-07-08 20:20:22.160858,2025-10-25 20:20:22.160858
29,Robyn Murphy,manuel88@example.com,cdd8c94f792e2968d2a88fd7d0deb537039413993e5d81dc0e055f55fe6570f5,CUSTOMER,IT,Naples,74.3,5525.94,AL2723583401008880,713.82,2024-09-04 22:57:55.161858,2024-12-26 22:57:55.161858
30,Christina Lee,michael32@example.com,6503e2e1d5e16f13ba31806c9224c8900a745ff30bda56916952308a537155a7,CUSTOMER,AL,Shkodër,90.0,751.94,AL1266153590947437,105.48,2025-09-01 05:22:41.161858,2026-01-16 05:22:41.161858
31,Mary Burton,ejohnson@example.com,78154a69f7fcaca63be8d3016dbf64e1ff0aeacbfaa67479a8802c83a9de6ddb,CUSTOMER,AL,Tirana,67.6,275.72,AL9995288961548330,1335.72,2024-12-11 01:28:26.162857,2024-12-19 01:28:26.162857
32,Michael Lutz,ryangonzalez@example.com,9481f75809d1f1168ef5462a134c7b0a287c3704ecf486bb5f377b36f9d44cfe,CUSTOMER,AL,Tirana,55.7,158.52,AL4957400228886564,863.7,2025-06-23 11:16:30.163858,2025-11-04 11:16:30.163858
33,Robyn Henderson,lauracooper@example.net,bc7325925e71dfff3c4c0ac26e11161fe1194cc643c843ecdb06fa5e5bd7ae2e,CUSTOMER,AL,Shkodër,74.2,72.95,AL3549351833548551,986.32,2025-04-16 04:06:56.163858,2025-11-01 04:06:56.163858
34,Scott Thomas,kerrymccarthy@example.net,18f4624baff850260e8e481eb3de566cc900c77d755ff218b95cab15dd6a5355,CUSTOMER,IT,Naples,82.4,97.65,AL3155042175679868,750.86,2024-07-19 23:29:23.164857,2024-10-22 23:29:23.164857
35,Hector Kent,costascott@example.org,bc01ad689e80a3cea4de20740012d918b4345c08f6ccf830c48abf3848660cf6,CUSTOMER,MK,Kumanovo,80.4,13.57,AL6596491912879763,92.05,2025-05-03 03:12:20.165858,2025-07-01 03:12:20.165858
36,Robert Jackson,oanderson@example.com,d9fb4eb099c1c15e1db4844f5e4c61116fe8d3e3645cf5ac5fc15e7436b379c9,CUSTOMER,GB,Leeds,96.2,131.01,AL0255829482003903,1560.74,2026-03-25 10:51:13.166856,2026-04-15 10:51:13.166856
37,Anthony Turner,yboyd@example.org,14b213da53aeae280b99ddd9962b8300e76a99f6c4aa325b2d8c41d273594ed9,CUSTOMER,FR,Lyon,53.1,418.04,AL2840952650746866,230.24,2024-07-26 15:25:47.166856,2024-10-17 15:25:47.166856
38,Patricia Leach,kelsey77@example.com,c8aeb6acef50c0d35bd88a71a8d26de87fadc1cc5e9325ac0e2bc112b44c269a,CUSTOMER,AL,Elbasan,74.8,5214.47,AL1606347485962745,2759.72,2024-09-03 04:02:23.167854,2024-09-30 04:02:23.167854
39,Keith Ford,nina42@example.com,06c8ca74c0f40b42b1082fe7b94e9008299592ac95ef5f23b1acf7d992b4c49c,CUSTOMER,RS,Belgrade,60.3,53.25,AL0032503496834489,1068.12,2025-08-25 06:26:44.168854,2025-12-03 06:26:44.168854
40,Lisa Lee,emilylewis@example.com,9c745862c333887279af9fa0f03734c0c659b38fd9a55b1d0bd54a6db34c2a34,CUSTOMER,AL,Durrës,44.1,221.87,AL5660282231138020,1961.68,2025-04-09 12:22:16.168854,2025-07-30 12:22:16.168854
41,Kathryn Simpson,spencerjonathan@example.com,271ddd7208dd15fbfaafe06413f5f2d3c8ac21dfb509fb688c7ebe6390efae96,CUSTOMER,GB,Glasgow,85.1,652.06,AL4115314639759410,37.42,2025-01-08 00:00:48.169854,2025-06-04 00:00:48.169854
42,Brett Walker,morenoelizabeth@example.com,0a08b749c1139ad210eac01480704cbc5653c4e6f1789eafa4e866f0ac49f30a,CUSTOMER,AL,Elbasan,67.0,15.11,AL1637086429343241,3141.63,2026-02-10 00:19:03.170854,2026-02-10 00:19:03.170854
43,George Bryan,msanchez@example.org,f1445c94694229c1d91b5defe735ecede88e7f47f7a54dc3f262817fb9181ea0,CUSTOMER,TR,Bursa,92.3,241.17,AL5223529486327329,198.3,2025-04-02 07:18:13.171856,2025-07-09 07:18:13.171856
44,Kevin Patterson,jaymartin@example.net,af19b469040c313b59dfe2826f6ed42da3bae94eef4e1dc640c66cc57623ec1f,CUSTOMER,FR,Bordeaux,74.4,262.42,AL0117642052568402,16258.84,2025-06-04 13:50:00.171856,2025-11-21 13:50:00.171856
45,Steven Herman,leegeorge@example.com,138366f62fb3b331cbd01b6e27eaedb6ec63de8c8684f18a588d958b98af0a71,ANALYST,AL,Shkodër,69.6,156.64,AL0378135716225463,2850.81,2024-06-14 07:58:15.172854,2024-12-03 07:58:15.172854
46,Hannah Morris,jonesemily@example.net,b1c38f620ad3f652d41be48a69714a19529c26ce6855a8f7063fc49392a19068,CUSTOMER,AL,Tirana,42.0,270.52,AL8152171660175192,973.02,2026-04-02 05:32:19.173853,2026-04-02 05:32:19.173853
47,Jose Orr,mahoneycurtis@example.org,7ad4aadf74e24ba77dc141ec1d3f438d45b41acb2f7ddfc7ee4fd4c89b77289d,CUSTOMER,RS,Novi Sad,73.1,715.55,AL7045123698100512,5108.98,2025-12-28 07:57:39.175853,2026-06-13 07:57:39.175853
48,Danielle Stevens,brycedennis@example.org,1ff4e3f2a952b70c5d149cc22c589ca397e7572214a510a8817f688b47aa22f1,CUSTOMER,DE,Frankfurt,58.0,66.66,AL9149590073544907,600.05,2025-10-27 13:11:56.176849,2026-04-22 13:11:56.176849
49,Scott Green,agarcia@example.com,1dfb2b6e88743b4f776291caf205e0b0908e31c884f243abac7e38177cacb490,CUSTOMER,FR,Bordeaux,37.8,339.63,AL3487686345076757,11408.99,2024-06-03 15:27:20.176849,2024-08-30 15:27:20.176849
50,Samantha George,annaflynn@example.net,80c6ec3ec2f640aeb9b07ce09429b9a87f142c4d53c7839e23b1a9dbf62eb56f,CUSTOMER,MK,Skopje,41.2,99.14,AL9938798636336553,4691.45,2026-02-08 21:13:44.178848,2026-04-30 21:13:44.178848
51,Tom Burton,villajesse@example.com,6b48a33b867988365a4c8a02c4e056ea56f559058bd2feb69d31c64736a6d611,CUSTOMER,GR,Athens,77.1,135.95,AL0309721047583242,146.46,2025-09-02 12:48:08.180847,2025-12-06 12:48:08.180847
52,Nicholas Davis,schroedertrevor@example.com,da2915fd54cae844d46f9f0bd6213ef476d043e247a31b1e759cbb352903bc1f,CUSTOMER,AL,Elbasan,65.5,231.39,AL1221237387919693,212.73,2025-04-22 16:57:22.181847,2025-10-29 16:57:22.181847
53,Jenny Brown,littlemichael@example.net,e44af6ab4146e8992dcd8488efb1017035fc544fbe10b309d928d5016c410f51,CUSTOMER,AL,Vlorë,92.8,1090.0,AL0241183557728384,1278.99,2025-07-15 07:47:36.183845,2025-07-21 07:47:36.183845
54,Laura Salazar,joshua69@example.com,e2e42344bbccfd8460b8bec6973b0b704f286b38aab9fcc0f2ee5894621ee82a,CUSTOMER,AL,Shkodër,95.5,115.97,AL1640412871858735,8477.26,2024-10-29 11:13:57.184845,2025-02-12 11:13:57.184845
55,Jordan Williams,palmerheather@example.org,9c447a65d12dd04c45ea4a004e749debe00ad3b4bc1856a41aa60656622c48e9,CUSTOMER,AL,Vlorë,74.6,167.09,AL3584313119048911,2655.32,2025-10-07 13:27:06.185844,2026-04-16 13:27:06.185844
56,Steven Miller,qcarter@example.net,eb2d324d6cf73e3780b8567cc9befc91e39265798b37be44c8d49fe2d04ba92c,CUSTOMER,AL,Elbasan,68.7,756.23,AL4556189188734818,191.78,2025-11-28 17:06:46.186846,2026-05-31 17:06:46.186846
57,Samantha Le DDS,morganjoseph@example.net,fae631632cd066be98fafe1151800136db9c956b4101d1e9891c9e8ff0b54b8f,CUSTOMER,AL,Durrës,69.0,1267.31,AL5426705922803471,717.52,2024-09-20 23:37:04.187842,2025-02-24 23:37:04.187842
58,Dr. Susan Hale DVM,nathansmith@example.net,bfd3dbbe768e1f9934da5a08f0913a0d3041054f0fc04869dbca3c10c3cc0c61,CUSTOMER,AL,Tirana,44.4,512.95,AL4695351069850942,696.5,2025-02-04 12:24:41.188843,2025-08-01 12:24:41.188843
59,Shelley Arnold,tspencer@example.org,f0c26e915aab0ca80bf7c2ca7faace31882e326c4643099847f29fac03e1e151,CUSTOMER,IT,Naples,68.3,695.52,AL5579341643644421,1826.79,2024-08-05 02:37:44.190841,2024-10-08 02:37:44.190841
60,Ashley Fitzgerald,robert63@example.org,cda920f4e125ff299d3dc9b35cfc8d85e8dd2c0ee71043d283ccb243a2c9e331,CUSTOMER,IT,Turin,56.2,606.37,AL2961182712226997,2763.36,2025-01-10 20:55:55.191840,2025-02-19 20:55:55.191840
61,Terry May,ronald70@example.org,d14e7586f47b4b4b950c7d613ba832ec8757b5a689015ca7f49fd78d7e17d7ec,CUSTOMER,FR,Bordeaux,45.1,158.01,AL4650547896341988,261.86,2024-12-06 12:26:00.191840,2025-05-26 12:26:00.191840
62,Antonio Luna,justin41@example.com,d2d2d7955dd252a6dc50306c4058c420e8e470504ed96fd73d6c432869db13dc,CUSTOMER,AL,Elbasan,75.1,276.53,AL9079727146462666,1309.66,2025-04-06 22:20:58.192842,2025-06-02 22:20:58.192842
63,Mark Finley,ksanchez@example.net,85f2b47c5caa6b8bb4ccc59b321b8739a4ddb767dc1af96ba57768fad740a8e0,CUSTOMER,DE,Berlin,70.4,203.48,AL4718216761134921,1540.99,2025-08-09 21:58:43.193843,2025-08-14 21:58:43.193843
64,Sarah Harris,ehernandez@example.org,2496f4cabde96834d278ef1173eab39c8e0bddd15ab813a5adefa1527c9309c4,CUSTOMER,DE,Hamburg,85.2,121.04,AL8264178511455252,1437.33,2025-07-01 03:43:01.194838,2025-11-15 03:43:01.194838
65,Maria Smith,kerrjill@example.net,d4e143c324047dbb7d91f1e5e3baa6f3265df21c73e018c90e5b1b9875327bc5,CUSTOMER,RS,Novi Sad,73.3,1065.88,AL2036733768989433,10209.74,2025-09-27 05:32:37.195838,2026-02-16 05:32:37.195838
66,Kelly Harris,draketiffany@example.com,964bb90539cb676885147ca97b813c72ee5845285a79e43a48250b2b6b1eb2e2,CUSTOMER,AL,Durrës,57.6,183.36,AL0502004870036783,760.64,2024-10-09 03:25:13.196838,2024-11-11 03:25:13.196838
67,Morgan Wright,nelsondaniel@example.net,458a4ed6fdbfa742549fab2212373c6a4e80e434267b69aeb59ad1b05ed55511,CUSTOMER,TR,Bursa,49.8,83.68,AL3725577433426267,3087.62,2025-04-06 04:44:07.198841,2025-09-04 04:44:07.198841
68,Joyce Stewart,kathryncortez@example.org,ee5530b2ed5191361a27ec0598713e58abe392d6ffd828d03b04a4ec29d86a4e,CUSTOMER,AL,Tirana,69.1,831.19,AL4931899984162469,114.32,2026-02-21 22:15:33.199836,2026-04-19 22:15:33.199836
69,Edward Moon,edwardsamanda@example.org,430d9e547247881b529544302d3f7d720e208c53886b9bd88abbd6988a0e964b,CUSTOMER,DE,Frankfurt,91.1,87.09,AL6224271835137215,151.3,2024-07-10 10:39:44.200837,2024-10-08 10:39:44.200837
70,Brandon Johnson,fisherdonald@example.net,803a6178327cc5faf45c68623f3ce6c8ea097ab4ff4f851d2d6942b32f795ac5,CUSTOMER,IT,Florence,78.2,522.92,AL8048489403245413,10171.84,2025-03-24 05:57:52.201834,2025-08-06 05:57:52.201834
71,Anthony Moore,matthew47@example.com,a437597eb8d934d85b788e701d37fda1977ce1d48176bd397568d75a7de26d11,CUSTOMER,AL,Durrës,70.6,50.05,AL2053329642880960,138.79,2025-12-17 21:52:18.202834,2025-12-27 21:52:18.202834
72,April Sims,rshaffer@example.net,67e7d50ec3bae0fb2bdb64e9bbae795ef8d0b29ed6ebc7077a865cb2ee7326b5,ADMIN,DE,Hamburg,67.4,58.3,AL0240349059891893,1248.58,2026-02-01 09:16:43.203835,2026-05-11 09:16:43.203835
73,Thomas Hopkins,johnsoneric@example.net,80a3b08f8800c773cea83eb7c7fbe4ac6591d085eef24961638c20dc54e12959,CUSTOMER,AL,Elbasan,64.5,94.53,AL5364448639897373,4679.51,2024-10-11 03:31:43.204832,2025-04-22 03:31:43.204832
74,Zachary Farmer,bendermary@example.org,6587cbd8bac0e8b1538ca26a34e5b929f8551eb5d3d806c655a0ae8b6302de7d,CUSTOMER,AL,Durrës,53.2,351.55,AL1579382757752589,2908.44,2025-03-21 13:28:03.205832,2025-09-22 13:28:03.205832
75,Amanda Simmons,jsmith@example.com,bc29f2089a89b627722b2c8b0d573786f68032a71bbddfaf91a85366ef3172c7,CUSTOMER,IT,Rome,79.6,1547.44,AL9695003718242440,1596.66,2024-06-06 21:19:53.206832,2024-12-10 21:19:53.206832
76,Katherine Reid,andersonrobert@example.org,26aa260414182d1bb03f7cd3d94206e18ebced386635d1bf1d1418b6b44e0b3a,CUSTOMER,TR,Ankara,85.2,2708.67,AL5290978819598531,2755.64,2025-09-03 14:43:58.208832,2025-09-23 14:43:58.208832
77,Timothy Young,christopher04@example.com,102bfff14882d8a6277a98522b017e585deac6de2a9290b37ea1aac240a54bde,CUSTOMER,AL,Vlorë,22.3,181.03,AL8728027378009554,6539.53,2026-01-23 16:04:20.209831,2026-05-18 16:04:20.209831
78,Caroline Diaz,nicoleholmes@example.net,42b83c755c598a3b0604a755b0555d2ab2d0a4a6f87ff47f479dac4f271e22e8,CUSTOMER,IT,Naples,38.5,238.25,AL1514310591428492,2941.96,2025-12-29 17:46:55.209831,2026-01-14 17:46:55.209831
79,Matthew Mejia,shirleystewart@example.net,e0d49243cf19acc5a6584ff8d4d91337198be3e6010f97b4a0552b6d6afe9096,ANALYST,TR,Antalya,57.8,189.32,AL6027535930397891,3238.28,2025-08-07 13:48:01.211828,2025-08-07 13:48:01.211828
80,Eric Johnson,swebster@example.com,9f5c15be9bc2d9431b061af7f9ee24833c271d62863c314cd3ae15901fa28c0e,CUSTOMER,AL,Tirana,72.9,155.8,AL9237152191068175,3803.52,2024-09-15 19:40:26.212828,2025-02-28 19:40:26.212828
81,Diana Salinas DDS,lisamartinez@example.com,d6d4f41637a1e8fd57734cb584b72e9217c1898caa277d9480f013491aceee42,ANALYST,TR,Antalya,64.9,35.65,AL4774448323131070,1816.38,2024-06-16 08:28:30.213828,2024-11-07 08:28:30.213828
82,Charles Esparza,webermichael@example.net,a80e22397017dbcff1ab3d7159f01435e1364f383478932485e40e6730b09944,CUSTOMER,GR,Patras,58.3,1440.68,AL9025031901115392,1082.26,2025-06-14 20:44:17.215828,2025-09-29 20:44:17.215828
83,Rebecca Hansen,robertrivera@example.com,3ea56eefe22a6291885c4dcc960fdcf33ff9f1299f2e63a49ca5ad42adfa498c,CUSTOMER,AL,Tirana,74.5,148.03,AL4469833715416316,279.45,2026-02-03 14:06:12.217827,2026-03-07 14:06:12.217827
84,Jeffrey Miles,daviskara@example.com,444cd88a8e46b37ed3551861658227346fd857ffea218ba006001636aaec4d10,CUSTOMER,AL,Vlorë,89.8,536.78,AL5059429045494907,9490.61,2025-06-22 18:47:56.218825,2025-10-18 18:47:56.218825
85,Christine Hanson,ryanlewis@example.com,ad8734449dc2c1b932867ee7f3d5085fd8009cfebf7be924e57cd1daa3abc3ac,CUSTOMER,IT,Rome,90.0,346.56,AL7677944618763346,4649.16,2024-12-07 01:56:13.220824,2025-06-10 01:56:13.220824
86,Lindsay Robinson,kenneth13@example.net,83a7f465122dbde89f5e54fad3524bfa4bb93e3c18e35c3a9949d85dcd850acf,CUSTOMER,AL,Vlorë,93.5,424.81,AL7313136172872510,610.32,2024-06-19 16:54:06.221824,2024-12-27 16:54:06.221824
87,Patricia Wilson,amylarsen@example.com,e34bac4d1881188e504d03937b009418e699d289149ece6c9b14dcf128fc7cc4,CUSTOMER,AL,Tirana,73.8,419.88,AL7481322331758710,209.35,2024-09-14 17:50:52.222823,2024-11-01 17:50:52.222823
88,Kaitlin Rios,matthew67@example.com,2a339c5c9c767158d07214b3b40483686cb241d09d9a33014223e256064a98df,CUSTOMER,GB,Manchester,72.2,575.0,AL4337297131231047,54.81,2024-10-22 13:36:52.223822,2024-12-21 13:36:52.223822
89,Katherine Ryan,johnkeller@example.org,b3170698260170d25f416288ad964e9ac822232254017d153a3fffb66e1f3387,CUSTOMER,AL,Elbasan,71.8,314.93,AL4889573470705444,2522.59,2025-02-10 14:12:25.224821,2025-05-11 14:12:25.224821
90,Zachary Edwards,lindsay19@example.org,1e09f2312a1fe4e7ef9bbc498d18f04e1efbdd98e8ceabe22cf5317749f25fda,ADMIN,DE,Frankfurt,78.7,60.47,AL8181314728669439,2506.86,2025-03-21 09:33:04.224821,2025-07-10 09:33:04.224821
91,Aaron Brown,benjaminwebster@example.com,1beb567000a975eba77e16a715dca8861f8686b11e0d83d971dd66b657ac12bc,CUSTOMER,AL,Shkodër,72.5,37.32,AL7128929971269842,423.17,2026-04-20 21:51:49.225820,2026-06-27 21:51:49.225820
92,Aaron Christian,tiffanysmith@example.org,5162182b09eb3da3f4b2021373252591c0b1c6f3071403de29a35111061a4fe5,CUSTOMER,AL,Shkodër,59.0,587.37,AL8826055398022857,381.99,2024-06-16 22:50:43.226822,2024-11-24 22:50:43.226822
93,Christopher Salas,melissa91@example.net,8c5da3e2a141f4783677592adb02dbdc80844eaeb04c58b3cf8cfed98bad5496,CUSTOMER,AL,Vlorë,63.7,34.98,AL5676191464290297,1009.89,2025-06-22 09:55:17.226822,2026-01-01 09:55:17.226822
94,Stacy Preston,baileydaniel@example.net,2f9c43e0e83eda12410d8702c0e19c271cacc6cff360b2c419ffd9a5028f1386,CUSTOMER,AL,Vlorë,62.5,44.43,AL8626212210954924,1782.94,2026-02-13 15:55:27.227823,2026-08-01 15:55:27.227823
95,Christy Adams,angela51@example.org,210e79fcd8af4ee6b8563da512e00d5c4e7dd7b6db208164c25f69848c40a221,CUSTOMER,AL,Elbasan,56.4,489.25,AL0250885306576117,5579.04,2025-02-17 03:39:42.228819,2025-03-10 03:39:42.228819
96,Kimberly Archer,taylorgeorge@example.com,2536bf42d584c097eaac5d3e0327a0208bad138fb812e6d27cccb27dc73701ea,CUSTOMER,AL,Vlorë,63.8,247.14,AL1923565558387997,2451.48,2024-11-29 06:03:48.228819,2025-01-17 06:03:48.228819
97,Melissa Travis,francostephanie@example.net,3cdd7cccc307dc14e8f7065d05a1680c113ef92d56c5d18b4b04eb1f377fb3e6,ANALYST,IT,Florence,88.3,184.24,AL3336640920546802,384.51,2024-09-30 04:13:55.229819,2025-01-28 04:13:55.229819
98,Tamara Evans,tlewis@example.org,5a9628be488ecabd23f6dcbf2a9fb7e4fd8e03f22be7b34c58a89359df4748ad,CUSTOMER,RS,Niš,94.5,287.77,AL8904297356440438,1590.69,2025-07-29 04:00:20.230821,2026-01-18 04:00:20.230821
99,Jose Scott,jacquelineshields@example.net,932d5cc66bfe6d095ae234f0248476a7b3453d668e4d13388b1fab7bbdb12afe,CUSTOMER,AL,Shkodër,71.0,697.62,AL2255477272403947,1355.78,2025-11-17 19:30:08.230821,2026-01-30 19:30:08.230821
100,Chad Tucker,johnrodgers@example.org,4351c070ff3deb741d5ef50427cb40b2f5bd6edbd7eff92a3d2f8e7e96903412,CUSTOMER,AL,Tirana,52.7,2400.64,AL3951129196983812,5276.26,2024-11-18 07:39:05.231818,2024-12-30 07:39:05.231818
101,Glen Smith,kwright@example.net,126a455ed46156c6715d0d67604d81e5c9acacb54e594c34730e3a9f1ad657bb,CUSTOMER,AL,Vlorë,85.0,110.47,AL0648364597447314,825.23,2024-11-24 16:34:04.231818,2025-02-16 16:34:04.231818
102,Susan Thomas,linda74@example.com,4a424fe381cf0c7f736127c19a6e3520b732c9da8c1ad23d730d880f1b401b3f,CUSTOMER,AL,Elbasan,94.7,153.49,AL0872372466912952,2816.34,2024-10-12 12:21:27.232817,2024-12-08 12:21:27.232817
103,Zachary Armstrong,montgomeryralph@example.com,d7d4398ee93259bc730da530a0a9509ed3cad2c8391c867eaf5fccc5615bff62,CUSTOMER,IT,Turin,83.1,3718.86,AL7404409234877288,557.2,2025-03-27 10:04:41.233819,2025-04-03 10:04:41.233819
104,Victoria Ortiz,yolanda33@example.org,a1006650e7f141c1edda9b780dfdf572fd48997600b880f25ec9d252b5a282f3,CUSTOMER,AL,Elbasan,94.2,1895.64,AL7104564593454995,1723.87,2024-11-06 19:40:42.233819,2025-02-04 19:40:42.233819
